feature,importance
past_churns,19.2872782190754
tipo_produto_actual,17.25404251743613
contract_number,8.829118738032598
topup_total_value,8.462627480971575
gap_since_prev_expiry,8.15817076912981
n_prev_contracts,7.761852039505878
contract_len_days,7.315989801852355
n_dias_subscricao,4.3385397550371
topup_cv_value,2.933648739058011
tenure_days,1.7826845028207032
topup_days_since_last,1.7086971187475293
expiry_dow,1.6652363740811398
std_len_prev,1.2902295950222866
expiry_month,1.2542837580946433
topup_avg_value,1.051476638339498
tipo_subscricao,0.9293602176036929
tenure_bucket,0.8563297691571897
tipo_stb,0.8392939851867999
id_produto_actual,0.8132957992387837
topup_count,0.6367978988851258
provincia,0.5894531878642798
mean_len_prev,0.5276037515361705
topup_std_value,0.4295620553609478
iddim_contaservico_dth,0.2691182262969223
id_contaservico,0.19318946385518357
age,0.16143461531786024
sexo,0.13896779864782188
estado_civil,0.10275818080781161
account_age_d_conta,0.09516154600077724
account_age_d_contaservico,0.07332933895395125
used_selfcare,0.07063993356531408
topup_channel_nunique,0.06885283639046122
days_since_last_update_cliente,0.027828753161637652
account_age_d_cliente,0.0243719373868652
topup_type_nunique,0.02424053584793212
tipoconta,0.02338278275634973
days_since_last_contact,0.008296274414811637
tecnologia,0.002691851243268615
n_contacts,0.0001632133153903128
was_contacted,0.0
any_success,0.0
age_missing,0.0
municipio,0.0
n_dias_expirado,0.0
n_successful_contacts,0.0
idgrupo_dim_contadimensao,0.0
